id	camera_l	depth	qw	qx	qy	qz	tx	ty	tz	fx	fy	cx	cy
0	2011_09_26/2011_09_26_drive_0028_sync/image_02/data/0000000006.png	train/2011_09_26_drive_0028_sync/proj_depth/groundtruth/image_02/0000000006.png	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.580948	1.924101	0.490788	0.460944
1	2011_09_26/2011_09_26_drive_0028_sync/image_02/data/0000000011.png	train/2011_09_26_drive_0028_sync/proj_depth/groundtruth/image_02/0000000011.png	0.999999	-0.000366	0.001011	-0.000766	0.029363	0.015426	3.466927	0.580948	1.924101	0.490788	0.460944
2	2011_09_26/2011_09_26_drive_0028_sync/image_02/data/0000000018.png	train/2011_09_26_drive_0028_sync/proj_depth/groundtruth/image_02/0000000018.png	0.999994	0.000236	0.003292	-0.001209	0.035061	0.022790	3.595823	0.580948	1.924101	0.490788	0.460944
3	2011_09_26/2011_09_26_drive_0028_sync/image_02/data/0000000023.png	train/2011_09_26_drive_0028_sync/proj_depth/groundtruth/image_02/0000000023.png	0.999987	0.000480	0.005110	-0.000339	0.064610	0.022843	3.572277	0.580948	1.924101	0.490788	0.460944
0	2011_09_26/2011_09_26_drive_0028_sync/image_02/data/0000000025.png	train/2011_09_26_drive_0028_sync/proj_depth/groundtruth/image_02/0000000025.png	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.580948	1.924101	0.490788	0.460944
1	2011_09_26/2011_09_26_drive_0028_sync/image_02/data/0000000032.png	train/2011_09_26_drive_0028_sync/proj_depth/groundtruth/image_02/0000000032.png	0.999954	-0.000271	0.009501	-0.001267	0.052252	-0.003862	3.545950	0.580948	1.924101	0.490788	0.460944
2	2011_09_26/2011_09_26_drive_0028_sync/image_02/data/0000000037.png	train/2011_09_26_drive_0028_sync/proj_depth/groundtruth/image_02/0000000037.png	0.999934	0.001641	0.011300	0.001057	0.031030	-0.039244	3.534950	0.580948	1.924101	0.490788	0.460944
3	2011_09_26/2011_09_26_drive_0028_sync/image_02/data/0000000044.png	train/2011_09_26_drive_0028_sync/proj_depth/groundtruth/image_02/0000000044.png	0.999934	0.001148	0.011452	-0.000198	0.032983	-0.038393	3.568994	0.580948	1.924101	0.490788	0.460944
0	2011_09_26/2011_09_26_drive_0028_sync/image_02/data/0000000046.png	train/2011_09_26_drive_0028_sync/proj_depth/groundtruth/image_02/0000000046.png	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.580948	1.924101	0.490788	0.460944
1	2011_09_26/2011_09_26_drive_0028_sync/image_02/data/0000000051.png	train/2011_09_26_drive_0028_sync/proj_depth/groundtruth/image_02/0000000051.png	0.999955	0.001013	0.009360	0.001083	0.036587	-0.038004	3.590467	0.580948	1.924101	0.490788	0.460944
2	2011_09_26/2011_09_26_drive_0028_sync/image_02/data/0000000058.png	train/2011_09_26_drive_0028_sync/proj_depth/groundtruth/image_02/0000000058.png	0.999975	-0.000117	0.007047	-0.000841	0.041203	0.020373	3.635040	0.580948	1.924101	0.490788	0.460944
3	2011_09_26/2011_09_26_drive_0028_sync/image_02/data/0000000063.png	train/2011_09_26_drive_0028_sync/proj_depth/groundtruth/image_02/0000000063.png	0.999976	0.000082	0.006913	0.000828	0.046147	0.024867	3.659143	0.580948	1.924101	0.490788	0.460944
0	2011_09_26/2011_09_26_drive_0028_sync/image_02/data/0000000065.png	train/2011_09_26_drive_0028_sync/proj_depth/groundtruth/image_02/0000000065.png	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.580948	1.924101	0.490788	0.460944
1	2011_09_26/2011_09_26_drive_0028_sync/image_02/data/0000000072.png	train/2011_09_26_drive_0028_sync/proj_depth/groundtruth/image_02/0000000072.png	0.999967	0.000489	0.008116	0.000034	0.054213	0.003404	3.716804	0.580948	1.924101	0.490788	0.460944
2	2011_09_26/2011_09_26_drive_0028_sync/image_02/data/0000000077.png	train/2011_09_26_drive_0028_sync/proj_depth/groundtruth/image_02/0000000077.png	0.999982	0.000288	0.005977	-0.000170	0.055864	0.019760	3.736509	0.580948	1.924101	0.490788	0.460944
3	2011_09_26/2011_09_26_drive_0028_sync/image_02/data/0000000084.png	train/2011_09_26_drive_0028_sync/proj_depth/groundtruth/image_02/0000000084.png	0.999998	0.000943	0.001444	-0.001194	0.021505	-0.003973	3.571983	0.580948	1.924101	0.490788	0.460944
0	2011_09_26/2011_09_26_drive_0028_sync/image_02/data/0000000086.png	train/2011_09_26_drive_0028_sync/proj_depth/groundtruth/image_02/0000000086.png	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.580948	1.924101	0.490788	0.460944
1	2011_09_26/2011_09_26_drive_0028_sync/image_02/data/0000000091.png	train/2011_09_26_drive_0028_sync/proj_depth/groundtruth/image_02/0000000091.png	1.000000	-0.000280	0.000889	-0.000269	0.016377	-0.002717	3.731434	0.580948	1.924101	0.490788	0.460944
2	2011_09_26/2011_09_26_drive_0028_sync/image_02/data/0000000098.png	train/2011_09_26_drive_0028_sync/proj_depth/groundtruth/image_02/0000000098.png	0.999998	0.000091	0.000341	0.001701	0.038498	0.012275	3.538502	0.580948	1.924101	0.490788	0.460944
3	2011_09_26/2011_09_26_drive_0028_sync/image_02/data/0000000103.png	train/2011_09_26_drive_0028_sync/proj_depth/groundtruth/image_02/0000000103.png	0.999999	-0.000182	0.001370	-0.000820	0.025383	-0.001368	3.534526	0.580948	1.924101	0.490788	0.460944
0	2011_09_26/2011_09_26_drive_0028_sync/image_02/data/0000000105.png	train/2011_09_26_drive_0028_sync/proj_depth/groundtruth/image_02/0000000105.png	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.580948	1.924101	0.490788	0.460944
1	2011_09_26/2011_09_26_drive_0028_sync/image_02/data/0000000112.png	train/2011_09_26_drive_0028_sync/proj_depth/groundtruth/image_02/0000000112.png	0.999999	0.001149	0.000369	-0.000958	-0.000982	-0.018581	3.513538	0.580948	1.924101	0.490788	0.460944
2	2011_09_26/2011_09_26_drive_0028_sync/image_02/data/0000000117.png	train/2011_09_26_drive_0028_sync/proj_depth/groundtruth/image_02/0000000117.png	1.000000	0.000491	-0.000427	0.000320	-0.001793	-0.010477	3.515610	0.580948	1.924101	0.490788	0.460944
3	2011_09_26/2011_09_26_drive_0028_sync/image_02/data/0000000124.png	train/2011_09_26_drive_0028_sync/proj_depth/groundtruth/image_02/0000000124.png	1.000000	-0.000101	-0.000458	-0.000353	0.019528	0.020303	3.716886	0.580948	1.924101	0.490788	0.460944
0	2011_09_26/2011_09_26_drive_0028_sync/image_02/data/0000000126.png	train/2011_09_26_drive_0028_sync/proj_depth/groundtruth/image_02/0000000126.png	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.580948	1.924101	0.490788	0.460944
1	2011_09_26/2011_09_26_drive_0028_sync/image_02/data/0000000131.png	train/2011_09_26_drive_0028_sync/proj_depth/groundtruth/image_02/0000000131.png	1.000000	-0.000377	-0.000434	-0.000254	0.018701	0.024274	3.728279	0.580948	1.924101	0.490788	0.460944
2	2011_09_26/2011_09_26_drive_0028_sync/image_02/data/0000000138.png	train/2011_09_26_drive_0028_sync/proj_depth/groundtruth/image_02/0000000138.png	1.000000	-0.000198	0.000116	-0.000017	0.013823	0.006031	3.721584	0.580948	1.924101	0.490788	0.460944
3	2011_09_26/2011_09_26_drive_0028_sync/image_02/data/0000000143.png	train/2011_09_26_drive_0028_sync/proj_depth/groundtruth/image_02/0000000143.png	1.000000	-0.000177	0.000219	-0.000425	0.029273	0.008965	3.714672	0.580948	1.924101	0.490788	0.460944
0	2011_09_26/2011_09_26_drive_0028_sync/image_02/data/0000000145.png	train/2011_09_26_drive_0028_sync/proj_depth/groundtruth/image_02/0000000145.png	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.580948	1.924101	0.490788	0.460944
1	2011_09_26/2011_09_26_drive_0028_sync/image_02/data/0000000152.png	train/2011_09_26_drive_0028_sync/proj_depth/groundtruth/image_02/0000000152.png	1.000000	-0.000709	0.000161	-0.000225	0.038444	0.007323	3.704469	0.580948	1.924101	0.490788	0.460944
2	2011_09_26/2011_09_26_drive_0028_sync/image_02/data/0000000157.png	train/2011_09_26_drive_0028_sync/proj_depth/groundtruth/image_02/0000000157.png	1.000000	0.000263	0.000141	0.000271	0.028460	-0.000925	3.524114	0.580948	1.924101	0.490788	0.460944
3	2011_09_26/2011_09_26_drive_0028_sync/image_02/data/0000000164.png	train/2011_09_26_drive_0028_sync/proj_depth/groundtruth/image_02/0000000164.png	1.000000	-0.000123	0.000384	0.000288	0.032887	0.032026	3.697359	0.580948	1.924101	0.490788	0.460944
0	2011_09_26/2011_09_26_drive_0028_sync/image_02/data/0000000171.png	train/2011_09_26_drive_0028_sync/proj_depth/groundtruth/image_02/0000000171.png	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.580948	1.924101	0.490788	0.460944
1	2011_09_26/2011_09_26_drive_0028_sync/image_02/data/0000000176.png	train/2011_09_26_drive_0028_sync/proj_depth/groundtruth/image_02/0000000176.png	1.000000	0.000219	0.000683	-0.000307	0.014749	-0.000660	3.676904	0.580948	1.924101	0.490788	0.460944
2	2011_09_26/2011_09_26_drive_0028_sync/image_02/data/0000000183.png	train/2011_09_26_drive_0028_sync/proj_depth/groundtruth/image_02/0000000183.png	1.000000	-0.000264	-0.000438	0.000059	0.008956	0.012763	3.320284	0.580948	1.924101	0.490788	0.460944
